property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score
26,4306-026-034,129B165 826,9437 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,8401.3,3407.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,385013.0,575956.0,960969.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026034],,87.5
27,4306-026-035,129B165 784,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,1724.6,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026035],Yes,75.0
28,4306-026-036,129B165 829,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,1715.5,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026036],Yes,75.0
29,4306-026-037,129B165 824,9407 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7715.8,5630.0,1949.0,1.0,0101 - Residential - Single Family Residence - Pool,2637452.0,774213.0,3411665.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026037],,87.5
30,4306-027-001,129B165 787,9500 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,8399.0,2526.0,1949.0,1.0,0100 - Residential - Single Family Residence,731743.0,161912.0,893655.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027001],,87.5
31,4306-027-002,129B165 834,9501 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7799.1,2521.0,1948.0,1.0,0100 - Residential - Single Family Residence,777224.0,212491.0,989715.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027002],,87.5
32,4306-027-003,129B165 831,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,1715.3,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027003],Yes,75.0
33,4306-027-004,129B165 788,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,1715.3,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027004],Yes,75.0
34,4306-027-005,129B165 790,9508 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7199.8,2786.0,1948.0,1.0,0100 - Residential - Single Family Residence,573788.0,349683.0,923471.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027005],,87.5
35,4306-027-006,129B165 792,9514 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7079.5,2695.0,1948.0,1.0,0101 - Residential - Single Family Residence - Pool,1490708.0,929626.0,2420334.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027006],,87.5
36,4306-027-007,129B165 795,9520 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7079.3,2194.0,1949.0,1.0,0101 - Residential - Single Family Residence - Pool,72607.0,67043.0,139650.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027007],,87.5
37,4306-027-008,129B165 796,9528 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7079.1,6375.0,2018.0,1.0,0101 - Residential - Single Family Residence - Pool,2228536.0,1399865.0,3628401.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027008],,87.5
38,4306-027-009,129B165 798,9532 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6599.0,3225.0,1948.0,1.0,0100 - Residential - Single Family Residence,241442.0,396081.0,637523.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027009],,87.5
39,4306-027-010,129B165 799,9538 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6598.7,3346.0,2014.0,1.0,0100 - Residential - Single Family Residence,1129695.0,990940.0,2120635.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027010],,87.5
40,4306-027-011,129B165 801,9544 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6598.6,1842.0,1949.0,1.0,0100 - Residential - Single Family Residence,438263.0,119808.0,558071.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027011],,87.5
41,4306-027-012,129B165 802,9550 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6598.4,1898.0,1948.0,1.0,0101 - Residential - Single Family Residence - Pool,889229.0,464798.0,1354027.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027012],,87.5
42,4306-027-013,129B165 849,9551 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6600.1,4111.0,2012.0,1.0,0100 - Residential - Single Family Residence,1762163.0,985138.0,2747301.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027013],,87.5
43,4306-027-014,129B165 847,9545 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6600.1,3458.0,1948.0,1.0,0100 - Residential - Single Family Residence,428894.0,354459.0,783353.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027014],,87.5
44,4306-027-015,129B165 845,9539 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6600.1,2057.0,1948.0,1.0,0100 - Residential - Single Family Residence,259527.0,165613.0,425140.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027015],,87.5
45,4306-027-016,129B165 844,9533 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6600.1,2321.0,1948.0,1.0,0100 - Residential - Single Family Residence,1258876.0,344181.0,1603057.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027016],,87.5
46,4306-027-017,129B165 842,9527 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7080.1,4646.0,1949.0,1.0,0100 - Residential - Single Family Residence,591633.0,1232027.0,1823660.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027017],,87.5
47,4306-027-018,129B165 840,9521 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7080.1,5400.0,2014.0,1.0,0101 - Residential - Single Family Residence - Pool,2917680.0,1201846.0,4119526.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027018],,87.5
48,4306-027-019,129B165 839,9515 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7080.1,4288.0,2016.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,2113989.0,936590.0,3050579.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027019],,87.5
49,4306-027-020,129B165 836,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,600.0,2526.0,1948.0,1.0,0100 - Residential - Single Family Residence,1396574.0,955087.0,2351661.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027020],,81.2
50,4306-027-021,129B165 805,9600 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6358.2,3951.0,2016.0,1.0,0101 - Residential - Single Family Residence - Pool,2470950.0,2021640.0,4492590.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027021],,87.5
51,4306-027-022,129B165 808,9606 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,,,,1.0,0101 - Residential - Single Family Residence - Pool,1713600.0,1542465.0,3256065.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027022],,78.1
52,4306-027-023,129B165 812,9610 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6613.8,4171.0,2015.0,1.0,0101 - Residential - Single Family Residence - Pool,1758301.0,2582232.0,4340533.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027023],,87.5
53,4306-027-024,129B165 813,9616 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6636.3,2210.0,1948.0,1.0,0100 - Residential - Single Family Residence,1007847.0,1246000.0,2253847.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027024],,87.5
54,4306-027-025,129B165 811,9620 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6499.9,4410.0,2011.0,1.0,0100 - Residential - Single Family Residence,1033650.0,1909200.0,2942850.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027025],,87.5
55,4306-027-026,129B165 809,9626 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6239.7,3938.0,2017.0,1.0,0101 - Residential - Single Family Residence - Pool,1933479.0,2066979.0,4000458.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027026],,87.5
56,4306-027-027,129B165 807,9632 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6240.4,3900.0,2014.0,1.0,0101 - Residential - Single Family Residence - Pool,2241789.0,637442.0,2879231.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027027],,90.6
57,4306-027-028,129B165 804,9636 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6735.9,1937.0,1949.0,1.0,0100 - Residential - Single Family Residence,69472.0,42427.0,111899.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027028],,90.6
58,4306-027-029,129B165 851,9641 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7972.3,2812.0,1948.0,1.0,0101 - Residential - Single Family Residence - Pool,187410.0,216234.0,403644.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027029],,87.5
59,4306-027-030,129B165 854,9635 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7011.1,3556.0,1950.0,1.0,0100 - Residential - Single Family Residence,621553.0,415854.0,1037407.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027030],,87.5
60,4306-027-031,129B165 856,9629 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,7011.1,2155.0,1948.0,1.0,0101 - Residential - Single Family Residence - Pool,505312.0,189840.0,695152.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027031],,87.5
61,4306-027-032,129B165 857,9623 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6799.5,2291.0,1947.0,1.0,0101 - Residential - Single Family Residence - Pool,1001339.0,465358.0,1466697.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,Yes [APN: 4306027032],,87.5
62,4306-027-033,129B165 859,9615 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6625.1,1615.0,1951.0,1.0,0100 - Residential - Single Family Residence,1680000.0,574162.0,2254162.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027033],,87.5
63,4306-027-034,129B165 858,9611 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6689.4,2215.0,1948.0,1.0,0100 - Residential - Single Family Residence,1532289.0,691807.0,2224096.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027034],,87.5
64,4306-027-035,129B165 855,9607 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6546.7,6125.0,2023.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,67672.0,1258884.0,1326556.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027035],,87.5
65,4306-027-036,129B165 853,9601 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,6360.1,2114.0,1949.0,1.0,0100 - Residential - Single Family Residence,463444.0,217907.0,681351.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027036],,87.5
66,4306-027-037,129B165 850,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,1144.4,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027037],Yes,75.0
67,4306-027-038,129B165 806,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,,1,1129.8,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306027038],Yes,78.1
68,4306-028-001,129B165 878,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,3614.0,5124.0,1948.0,1.0,0100 - Residential - Single Family Residence,1800852.0,1598563.0,3399415.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306028001],,81.2
69,4306-028-004,129B165 875,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,3525.0,2883.0,1948.0,1.0,0100 - Residential - Single Family Residence,1799374.0,491960.0,2291334.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306028004],,81.2
70,4306-028-005,129B165 881,9412 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7070.0,4752.0,2004.0,1.0,0100 - Residential - Single Family Residence,1424771.0,1626699.0,3051470.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306028005],,87.5
71,4306-028-006,129B165 884,9406 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7069.3,5429.0,2018.0,1.0,0100 - Residential - Single Family Residence,1097508.0,1543954.0,2641462.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306028006],Yes,90.6
